accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
414:55-1885,1885.0,O178660,tray,,London,bow porcelain factory,manufacturer,ca. 1755,2010EB8066,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1755,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:46-1885,1885.0,O178623,pedestal,,London,bow porcelain factory,manufacturer,ca. 1760,2010EB4506,porcelain,moulded,,"ceramics, room 139, the curtain foundation gallery",False,False,1760,18.0,london,"london, england",england,london,moulded,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:353/A-1885,1885.0,O176722,plate,,London,bow porcelain factory,manufacturer,ca. 1755,2010EB8046,porcelain,painted,kakiemon,"ceramics, room 139, the curtain foundation gallery",False,False,1755,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:353-1885,1885.0,O176718,plate,,London,bow porcelain factory,manufacturer,ca. 1755,2010EB8202,porcelain,painted,kakiemon,"ceramics, room 139, the curtain foundation gallery",False,False,1755,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:69/A-1885,1885.0,O176716,plate,,London,bow porcelain factory,manufacturer,ca. 1755,2010EB8040,porcelain,painted,kakiemon,"ceramics, room 139, the curtain foundation gallery",False,False,1755,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:69-1885,1885.0,O176711,plate,,London,bow porcelain factory,manufacturer,ca. 1755,2010EB8140,porcelain,painted,kakiemon,"ceramics, room 139, the curtain foundation gallery",False,False,1755,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:90/A-1885,1885.0,O176471,salt cellar,,London,bow porcelain factory,manufacturer,ca. 1750,2010EB4504,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1750,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
414:90-1885,1885.0,O176462,salt cellar,,London,bow porcelain factory,manufacturer,ca. 1750,2010EB4428,porcelain,painted,chinoiserie,"ceramics, room 139, the curtain foundation gallery",False,False,1750,18.0,london,"london, england",england,london,painted,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.142-1997,1997.0,O173471,vase,Gold Marguerites,United Kingdom,"nairac, rosemonde",designer,1975,2009CA5964,porcelain,transfer printed,,in store,False,False,1975,20.0,england,england,,united kingdom,transfer printed,,"51.5074456, -0.1277653",51.5074456,-0.1277653
CIRC.325-1931,1931.0,O171220,bowl,,Jingdezhen,unknown,,1736-1795,2010DY9859,porcelain,painted,qianlong,"ceramics, room 136, the curtain foundation gallery",False,False,1736-1795,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
CIRC.318-1931,1931.0,O171218,bowl,,Jingdezhen,unknown,,1736-1795,2010DY9882,porcelain,painted,qianlong,"ceramics, room 136, the curtain foundation gallery",False,False,1736-1795,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
CIRC.1354-1926,1926.0,O171217,bowl,,Jingdezhen,unknown,,1736-1795,2010EE0734,porcelain,painting (image-making),qianlong,"ceramics, room 137, the curtain foundation gallery",False,False,1736-1795,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,painted,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.86&A-1984,1984.0,O169610,sugar bowl and cover,,Germany,rosenthal ag,manufacturer,1908,2009BY9965,porcelain,painted,,"ceramics, room 140, factory ceramics",False,False,1908,20.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.463-1920,1920.0,O168519,vase,altar vase,China,unknown,,1573-1620,2010EH2181,porcelain,,wanli,in store,False,False,1573-1620,16.0,china,china,,china,,,"39.9057136, 116.3912972",39.9057136,116.3912972
610&A-1903,1903.0,O168455,teapot and lid,,Jingdezhen,unknown,,ca. 1730-1750,2018KV8001,porcelain,enamelling (painting),qing,"ceramics, room 137, the curtain foundation gallery",False,False,1730-1750,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,enamelled,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.180B&C-1988,1988.0,O168338,cup and saucer,,Norway,"enger, leif helge",maker,1984,2009CA4851,porcelain,underglazed,,"ceramics, room 139, the curtain foundation gallery",False,False,1984,20.0,norway,norway,,norway,underglazed,,"59.9133301, 10.7389701",59.9133301,10.7389701
1697-1900,1900.0,O168287,vase,,Sweden,rörstrand,manufacturer,ca. 1900,2009CA6246,porcelain,painted,,in store,False,False,1900,20.0,sweden,sweden,,sweden,painted,,"59.3251172, 18.0710935",59.3251172,18.0710935
1696-1900,1900.0,O168284,vase,,Sweden,rörstrand,manufacturer,ca. 1900,2009CA6247,porcelain,painted,,in store,False,False,1900,20.0,sweden,sweden,,sweden,painted,,"59.3251172, 18.0710935",59.3251172,18.0710935
8055-1862,1862.0,O167914,coffee pot and cover,,France,"solon, louis marc emmanuel",designer,ca. 1862,2007BM6538,porcelain,pâte-sur-pâte,,"ceramics, room 145",False,False,1862,19.0,france,france,,france,pâte-sur-pâte,,"48.8588897, 2.320041",48.8588897,2.320041
C.44:1 to 4-1993,1993.0,O166629,still life,"Still Life, 2 bottles, goblet and beaker",Queensland,"hanssen pigott, gwyn",maker,1992,2010EH1862,porcelain,throwing,,"ceramics, room 142, the lydia and manfred gorvy gallery",False,False,1992,20.0,queensland,queensland,,queensland,throwing,,"-22.1646782, 144.5844903",-22.1646782,144.5844903
C.1070-1917,1917.0,O166282,cup and saucer,,Jingdezhen,unknown,maker,1723-35,2008BT8746,porcelain,glazing,qing,"ceramics, room 145",False,False,1723-1735,18.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
414:119&/A-1885,1885.0,O165921,teapot and cover,,Derby,derby porcelain factory,manufacturer,ca. 1750,2009CR5052,porcelain,moulded,,"ceramics, room 139, the curtain foundation gallery",False,False,1750,18.0,derby,"derby, england",england,derby,moulded,,"52.9142235, -1.4719885",52.9142235,-1.4719885
414:343-1885,1885.0,O165861,dish,,Derby,william duesbury & co.,manufacturer,ca. 1775,2009CT0688,porcelain,painted,,"ceramics, room 139, the curtain foundation gallery",False,False,1775,18.0,derby,"derby, england",england,derby,painted,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.18-1985,1985.0,O165662,figure,America,Derby,derby porcelain factory,manufacturer,ca. 1780,2010ED2162,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1780,18.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.299-1940,1940.0,O165466,figure,St. Philip,Derby,"carlini, agostino",modelled,ca. 1760,2009CT0636,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1760,18.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.303-1940,1940.0,O165454,figure,Shepherd,Derby,derby porcelain factory,manufacturer,ca. 1755-1760,2009CT0629,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1755-1760,18.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.306-1940,1940.0,O165447,figure,Europa and the bull,Derby,derby porcelain factory,manufacturer,ca. 1765,2009CT0633,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1765,18.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.50-1965,1965.0,O165235,dish,,Jingdezhen,unknown,,1506-1521,2009BX8518,porcelain,underglazing,ming,"ceramics, room 137, the curtain foundation gallery",False,False,1506-1521,16.0,jingdezhen,"jingdezhen, china",china,jingdezhen,underglazing,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.51&A-1949,1949.0,O162589,tea bowl and saucer,,Staffordshire,new hall porcelain factory,maker,ca. 1800-1810,2010ED6683,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1800-1810,19.0,staffordshire,"staffordshire, england",england,staffordshire,,,"52.8246942, -2.0074547",52.8246942,-2.0074547
