accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning,filtered_date,century,_primaryPlace_cleaned,countries_place,country,place,technique_filtered,color,coordinates,latitude,longitude
CIRC.1370-1926,1926.0,O494057,cup,,Dehua,unknown,,1620-1720,2010EC6155,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1620-1720,17.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
3761-1853,1853.0,O493637,figure,,Arita,unknown,,1650-1800,2010EA5746,porcelain,,edo,"ceramics, room 137, the curtain foundation gallery",False,False,1650-1800,17.0,arita,"arita, japan",japan,arita,,,"33.192301, 129.8669613",33.192301,129.8669613
"C.6:1,2-2015",2015.0,O1305184,tea cup and saucer,,London,1660 london,,2012,2016JH7490,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.5-2015,2015.0,O1305183,cup,Black Tea Cup,London,1660 london,,2012,2016JH7486,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.4-2015,2015.0,O1305182,cup,Fragrance Cup,London,1660 london,,2012,2016JH7484,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.3-2015,2015.0,O1305181,cup,Green Tea Cup,London,1660 london,,2012,2016JH7492,porcelain,,,in store,False,False,2012,21.0,london,"london, england",england,london,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.239-2014,2014.0,O1302522,figure,,Meissen,meissen porcelain factory,makers,1747,2015HM1255,porcelain,moulded,,in store,False,False,1747,18.0,meissen,"meissen, germany",germany,meissen,moulded,,"51.1630871, 13.4704939",51.1630871,13.4704939
C.80-2025,2025.0,O1796043,pedestal,Pedestal,Italy,cozzi factory,manufacturer,1790-1800,2025PL1283,porcelain,,,in store,False,False,1790-1800,18.0,italy,italy,,italy,,,"41.8933203, 12.4829321",41.8933203,12.4829321
C.118-2003,2003.0,O84257,plate,Loft,United Kingdom,"hunt, martin",designer,2000,2009CA0564,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
CIRC.1369-1926,1926.0,O438087,cup,,Dehua,unknown,,18th century,2010EC6076,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1800,18.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
CIRC.1367-1926,1926.0,O438014,cup,,Dehua,unknown,,18th century,2010EC6135,porcelain,,dehua,on short term loan out for exhibition,False,False,1700-1800,18.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
CIRC.1373-1926,1926.0,O438012,cup,,Dehua,unknown,,18th century,2010EC6156,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1700-1800,18.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
CIRC.95-1935,1935.0,O437598,cup,,Dehua,unknown,,1620-1720,2010EC0583,porcelain,,blanc de chine,"ceramics, room 137, the curtain foundation gallery",False,False,1620-1720,17.0,dehua,"dehua, china",china,dehua,,,"25.4945484, 118.2362336",25.4945484,118.2362336
C.180-2009,2009.0,O1176375,milk jug,Free Spirit,Selb,"platt, robin",designer,2004,2009CP2934,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2004,21.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.171-2009,2009.0,O1176373,bowl,A La Carte,Selb,"platt, robin",designer,2006,2009CP2940,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2006,21.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.186-2009,2009.0,O1176371,vase,Spirit,Selb,"platt, robin",designer,1999,,porcelain,,,in store,False,False,1999,20.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.161-2009,2009.0,O1160366,vase,Golden Edition,Czech Republic,maxim velcovsky,designer,2008,2009CP2915,porcelain,gilding,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,czech republic,czech republic,,czech republic,gilded,,"50.0874654, 14.4212535",50.0874654,14.4212535
C.162-2009,2009.0,O1160359,vase,Golden Edition,Czech Republic,maxim velcovsky,designer,2008,2009CP2920,porcelain,gilding,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,czech republic,czech republic,,czech republic,gilded,,"50.0874654, 14.4212535",50.0874654,14.4212535
C.163-2009,2009.0,O1160356,vase,Golden Edition,Czech Republic,maxim velcovsky,designer,2008,2009CP2938,porcelain,gilding,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,czech republic,czech republic,,czech republic,gilded,,"50.0874654, 14.4212535",50.0874654,14.4212535
573A-1877,1877.0,O1159839,pilgrim bottle,,Stoke-on-Trent,"solon, louis marc emmanuel",designer,1875,2009CC4716,porcelain,,,"ceramics, room 143, the timothy sainsbury gallery",False,False,1875,19.0,stoke-on-trent,"stoke-on-trent, england",england,stoke-on-trent,,,"53.0162014, -2.1812607",53.0162014,-2.1812607
772A-1877,1877.0,O1158576,candelabrum,,Chelsea,chelsea porcelain factory,maker,ca. 1759-1770,2010ED0475,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1759-1770,18.0,chelsea,"chelsea, england",england,chelsea,,,"51.4888554, -0.1653781",51.4888554,-0.1653781
"ME.8:1, 2-2009",2009.0,O1158206,porcelain notebook,Soul Archive,Baghdad,"al karim, harim",designer and maker,1982 to 1991,2014GX8751,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
"ME.7:1, 2-2009",2009.0,O1158205,porcelain notebook,Soul Archive,Baghdad,"al karim, harim",designer and maker,1982 to 1991,2014GX8749,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
"ME.6:1, 2-2009",2009.0,O1158204,porcelain notebook,Soul Archive,Baghdad,"al karim, harim",designer and maker,1982 to 1991,2014GX8747,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
"ME.5:1, 2-2009",2009.0,O1158203,porcelain notebook,Soul Archive,Baghdad,"al karim, harim",designer and maker,1982 to 1991,2014GX8745,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
"ME.4:1, 2-2009",2009.0,O1158202,porcelain notebook,Soul Archive,Baghdad,"al karim, harim",designer and maker,1982 to 1991,2014GX8743,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
"ME.3:1, 2-2009",2009.0,O1158192,porcelain notebook,Soul Archive,Baghdad,harim al karim,designer and maker,1982 to 1991,2014GX8741,porcelain,,,in store,False,False,1982-1991,20.0,baghdad,"baghdad, irak",irak,baghdad,,,"33.3061701, 44.3872213",33.3061701,44.3872213
FE.104-2009,2009.0,O1158126,vase,Vase,Jingdezhen,"bo, jia",designer and maker,2008,2009CP2981,porcelain,glazing,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,jingdezhen,"jingdezhen, china",china,jingdezhen,glazed,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.103-2009,2009.0,O1158124,vase,Vase,Jingdezhen,"bo, jia",designer and maker,2008,2009CP2986,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,jingdezhen,"jingdezhen, china",china,jingdezhen,,,"29.3582395, 117.2735595",29.3582395,117.2735595
FE.102-2009,2009.0,O1158122,vase,Vase,Jingdezhen,"bo, jia",designer and maker,2008,2009CP2985,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,jingdezhen,"jingdezhen, china",china,jingdezhen,,,"29.3582395, 117.2735595",29.3582395,117.2735595
C.145-2009,2009.0,O1174960,plate,B-set,Netherlands,"jongerius, hella",designer,1998-1999,2009CP2954,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1998-1999,20.0,netherlands,netherlands,,netherlands,,,"52.3730796, 4.8924534",52.3730796,4.8924534
C.144-2009,2009.0,O1174959,plate,B-set,Netherlands,"jongerius, hella",designer,1998-1999,2009CP2953,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1998-1999,20.0,netherlands,netherlands,,netherlands,,,"52.3730796, 4.8924534",52.3730796,4.8924534
C.143-2009,2009.0,O1174958,plate,B-set,Netherlands,"jongerius, hella",designer,1998-1999,2009CP2952,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1998-1999,20.0,netherlands,netherlands,,netherlands,,,"52.3730796, 4.8924534",52.3730796,4.8924534
C.155-2009,2009.0,O1154055,vase,Red/White Vase,Netherlands,"jongerius, hella",designer,1998,2009CE1635,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1998,20.0,netherlands,netherlands,,netherlands,,,"52.3730796, 4.8924534",52.3730796,4.8924534
C.154-2009,2009.0,O1154053,pot,Big White Pot,Netherlands,"jongerius, hella",designer,1998,2009CE1688,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1998,20.0,netherlands,netherlands,,netherlands,,,"52.3730796, 4.8924534",52.3730796,4.8924534
FE.114-2009,2009.0,O1140837,bowl,Bowl,Sasong-dong,"park, young sook",designer and maker,ca. 2008,2016JG8502,porcelain,,,in store,False,False,2008,21.0,sasong-dong,"sasong-dong, south korea",south korea,sasong-dong,,,"37.4128384, 127.1116734",37.4128384,127.1116734
C.227-2009,2009.0,O1137394,plate,One Minute,Delft,"wanders, marcel",artist,2004,2009CP2980,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2004,21.0,delft,"delft, netherlands",netherlands,delft,,,"51.9994572, 4.3627245",51.9994572,4.3627245
C.226-2009,2009.0,O1137393,figure of a cow,One Minute,Delft,"wanders, marcel",artist,2004,2009CP2912,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2004,21.0,delft,"delft, netherlands",netherlands,delft,,,"51.9994572, 4.3627245",51.9994572,4.3627245
C.160-2009,2009.0,O1137392,vase,Golden Edition,Czech,maxim,designer,2008,2009CP2919,porcelain,gilding,,"ceramics, room 140, factory ceramics",False,False,2008,21.0,czech republic,czech republic,,czech republic,gilded,,"50.0874654, 14.4212535",50.0874654,14.4212535
C.182-2009,2009.0,O1137390,candlestick,Spirit,Selb,"platt, robin",designer,1999,,porcelain,,,in store,False,False,1999,20.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
"C.177:1, 2-2009",2009.0,O1137389,tea cup and saucer,Free Spirit,Selb,"platt, robin",designer,2004,2009CP2942,porcelain,,,"ceramics, room 140, factory ceramics",False,False,2004,21.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.176-2009,2009.0,O1137388,bowl,Tectonics,Selb,cairn young,designer,2005,2021MX7471,porcelain,firing,,in store,False,False,2005,21.0,selb,"selb, germany",germany,selb,firing/heating,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.131-2009,2009.0,O1135366,small egg vase,Small Egg Vase,Selb,"wanders, marcel",designer,1997,2009CP2881,porcelain,casting,,"ceramics, room 140, factory ceramics",False,False,1997,20.0,selb,"selb, germany",germany,selb,slip casting,,"50.1696241, 12.1309201",50.1696241,12.1309201
CIRC.166&A-1960,1960.0,O308769,tureen and cover,Von Langen,Weser,walter nietzsche,designer,1955,2009CA4940,porcelain,firing,,in store,False,False,1955,20.0,weser,"weser, germany",germany,weser,firing/heating,,"52.4778749, 9.0838738",52.4778749,9.0838738
C.973-1919,1919.0,O308718,figure group,,Meissen,eberlein,,18th century,2019LK5700,porcelain,firing,,in store,False,False,1700-1800,18.0,meissen,"meissen, germany",germany,meissen,firing/heating,,"51.1630871, 13.4704939",51.1630871,13.4704939
3378-1853,1853.0,O308693,cup,,Germany,meissen,,18th century,2019LK3307,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.135&A-1932,1932.0,O308639,cup and box (cover),,Germany,,,after 1903,2019LK3339,porcelain,firing,,in store,False,False,1903,20.0,germany,germany,,germany,firing/heating,,"52.5173885, 13.3951309",52.5173885,13.3951309
2846-1853,1853.0,O308497,jug and cover,,Germany,,,18th century,2019LK3388,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.75&A-1909,1909.0,O307980,tea caddy,,Fürstenberg,,,18th century,2019LJ6665,porcelain,glazing,,in store,False,False,1700-1800,18.0,fürstenberg,"fürstenberg, germany",germany,fürstenberg,glazed,,"51.7311597, 9.4028388",51.7311597,9.4028388
428&A-1903,1903.0,O307969,teapot,,Worcester,,,1751-1783,2019LM2569,porcelain,painted,,in store,False,False,1751-1783,18.0,worcester,"worcester, england",england,worcester,painted,,"52.1965281, -2.2095608",52.1965281,-2.2095608
C.233&A-1934,1934.0,O307899,spice box and cover,,France,samson's factory,maker,19th century,2010EK3823,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1800-1900,19.0,france,france,,france,,,"48.8588897, 2.320041",48.8588897,2.320041
C.2561-1910,1910.0,O307879,figure group,,Germany,elias meyer,,18th century,2019LK2530,porcelain,firing,,in store,False,False,1700-1800,18.0,germany,germany,,germany,firing/heating,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.401-1914,1914.0,O307867,figure group,,Furstenberg,luplau,,20th century,2019LJ6677,porcelain,firing,,in store,False,False,1900-2000,20.0,fürstenberg,"fürstenberg, germany",germany,fürstenberg,firing/heating,,"51.7311597, 9.4028388",51.7311597,9.4028388
763A/1-2-1877,1877.0,O307860,vase and cover,,Germany,furstenberg,,18th century,2019LJ6623,porcelain,gilding,,in store,False,False,1700-1800,18.0,germany,germany,,germany,gilded,,"52.5173885, 13.3951309",52.5173885,13.3951309
421&A-1903,1903.0,O307859,flower pot,,Dresden,,,19th century,2019LK3236,porcelain,painted,,in store,False,False,1800-1900,19.0,dresden,"dresden, germany",germany,dresden,painted,,"51.0493286, 13.7381437",51.0493286,13.7381437
429&A-1903,1903.0,O307858,vase,,Dresden,wolfsohn of dresden,made,19th century,2019LX8333,porcelain,painted,,in store,False,False,1800-1900,19.0,dresden,"dresden, germany",germany,dresden,painted,,"51.0493286, 13.7381437",51.0493286,13.7381437
815-1892,1892.0,O307480,sugar bowl,,Bristol,,,late 18th Century,2019LM2690,porcelain,firing,,in store,False,False,1790-1800,18.0,bristol,"bristol, england",england,bristol,firing/heating,,"51.4430141, -2.5816622",51.4430141,-2.5816622
632-1905,1905.0,O301961,jug,,Worcester,,,1775-1825,2019LT4284,porcelain,,,in store,False,False,1775-1825,18.0,worcester,"worcester, england",england,worcester,,,"52.1965281, -2.2095608",52.1965281,-2.2095608
"C.21:1, 2-2009",2009.0,O297144,teapot,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6993,porcelain,,modernism,"ceramics, room 145",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.22-2009,2009.0,O297143,jug,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6994,porcelain,,modernism,"ceramics, room 145",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.23-2009,2009.0,O297142,jug,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6990,porcelain,,modernism,"ceramics, room 145",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
"C.26:1, 2-2009",2009.0,O297140,cup and saucer,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6977,porcelain,,modernism,"ceramics, room 145",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
"C.27:1, 2-2009",2009.0,O297139,cup and saucer,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6991,porcelain,glazed,modernism,"ceramics, room 139, the curtain foundation gallery",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,glazed,,"52.5173885, 13.3951309",52.5173885,13.3951309
CIRC.7-1941,1941.0,O283634,plate,,Stoke-on-Trent,"rutherston, albert rws",painter,ca. 1940,2010EC3575,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1940,20.0,stoke-on-trent,"stoke-on-trent, england",england,stoke-on-trent,,,"53.0162014, -2.1812607",53.0162014,-2.1812607
CIRC.377-1973,1973.0,O283549,bowl,,Germany,wolf karnagel,,20th century,2009CA4883,porcelain,firing,,in store,False,False,1900-2000,20.0,germany,germany,,germany,firing/heating,,"52.5173885, 13.3951309",52.5173885,13.3951309
CIRC.377A-1973,1973.0,O283548,plate,,Germany,wolf karnagel,,20th century,2009CA4883,porcelain,glazing,,in store,False,False,1900-2000,20.0,germany,germany,,germany,glazed,,"52.5173885, 13.3951309",52.5173885,13.3951309
CIRC.378-1973,1973.0,O283547,bowl,,Germany,wolf karnagel,,20th century,2009CA4882,porcelain,firing,,in store,False,False,1900-2000,20.0,germany,germany,,germany,firing/heating,,"52.5173885, 13.3951309",52.5173885,13.3951309
CIRC.378A-1973,1973.0,O283546,plate,,Germany,wolf karnagel,,20th century,2009CA4882,porcelain,glazing,,in store,False,False,1900-2000,20.0,germany,germany,,germany,glazed,,"52.5173885, 13.3951309",52.5173885,13.3951309
2922-1853,1853.0,O283409,plate,,germany,meissen,,18th century,2019LK5686,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
252-1892,1892.0,O283403,plate,,Germany,meissen,,18th century,2019LK5679,porcelain,firing,,in store,False,False,1700-1800,18.0,germany,germany,,germany,firing/heating,,"52.5173885, 13.3951309",52.5173885,13.3951309
438A-1903,1903.0,O283397,vase,,Germany,,,19th century,2019LK3255,porcelain,gilding,,in store,False,False,1800-1900,19.0,germany,germany,,germany,gilded,,"52.5173885, 13.3951309",52.5173885,13.3951309
702-1853,1853.0,O283390,zarf,,Germany,meissen,,18th century,2019LK5583,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
5447-1859,1859.0,O282826,plate,,Doccia,ginori,maker,ca. 1850,2019LK7077,porcelain,painted,,in store,False,False,1850,19.0,doccia,"doccia, italy",italy,doccia,painted,,"43.8229316, 11.4256679",43.8229316,11.4256679
C.131-1932,1932.0,O282820,plate,,Potschappel,,,20th century,2019LJ6671,porcelain,firing,,in store,False,False,1900-2000,20.0,potschappel,"potschappel, germany",germany,potschappel,firing/heating,,"51.0131482, 13.662626",51.0131482,13.662626
C.519-1914,1914.0,O282701,bowl,,nymphenburg,nymphenburg,manufacturers,18th century,2019LK2056,porcelain,firing,,in store,False,False,1700-1800,18.0,nymphenburg,"nymphenburg, germany",germany,nymphenburg,firing/heating,,"48.1562262, 11.4944564",48.1562262,11.4944564
25-1872,1872.0,O282576,plate,,germany,höchst,,18th century,2019LJ6637,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
3494-1901,1901.0,O282559,plate,,Swansea,swansea pottery,manufacturer,1817-1818,2019LV4619,porcelain,firing,,in store,False,False,1817-1818,19.0,swansea,"swansea, wales",wales,swansea,firing/heating,,"51.6195955, -3.9459248",51.6195955,-3.9459248
C.125-1917,1917.0,O282249,plate,,Frankenthal,frankenthal,,18th century,2019LJ6669,porcelain,firing,,in store,False,False,1700-1800,18.0,frankenthal,"frankenthal, germany",germany,frankenthal,firing/heating,,"49.5353466, 8.3541391",49.5353466,8.3541391
4734-1859,1859.0,O281733,plate,,Stoke-on-Trent,"allen, thomas",painter,19th century,2010EB1925,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1800-1900,19.0,stoke-on-trent,"stoke-on-trent, england",england,stoke-on-trent,,,"53.0162014, -2.1812607",53.0162014,-2.1812607
690-1853,1853.0,O280641,plate,,Germany,meissen,,18th Century,2019LK5682,porcelain,painted,,in store,False,False,1700-1800,18.0,germany,germany,,germany,painted,,"52.5173885, 13.3951309",52.5173885,13.3951309
2016B-1855,1855.0,O280611,bowl,,,meissen,,18th century,2019LK5694,porcelain,gilding,,in store,False,False,1700-1800,18.0,,,,,gilded,,,,
C.237-1923,1923.0,O280360,plate,,Meissen,meissen,,18th century,2019LK3358,porcelain,,,in store,False,False,1700-1800,18.0,meissen,"meissen, germany",germany,meissen,,,"51.1630871, 13.4704939",51.1630871,13.4704939
CIRC.375-1916,1916.0,O279111,bowl,,England,unknown,,second half of 18th century,2010ED2442,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1750-1800,18.0,england,england,,england,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
1017&A-1853,1853.0,O279090,bowl and saucer,,Worcester,worcester porcelain factory,maker,18th century,2010EA0061,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1700-1800,18.0,worcester,"worcester, england",england,worcester,,,"52.1965281, -2.2095608",52.1965281,-2.2095608
3495-1901,1901.0,O278693,plate,,Swansea,swansea pottery,manufacturer,1817-1818,2010EE0369,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1817-1818,19.0,swansea,"swansea, wales",wales,swansea,,,"51.6195955, -3.9459248",51.6195955,-3.9459248
1623-1871,1871.0,O277516,plate,,England,unknown,,early 19th century,2010EE0326,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1800-1830,19.0,england,england,,england,,,"51.5074456, -0.1277653",51.5074456,-0.1277653
8509-1863,1863.0,O276626,plate,,Derby,derby porcelain factory,maker,ca. 1825,2010ED7349,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1825,19.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
CIRC.786A-1956,1956.0,O256700,bowl cover,,Nymphenburg,nymphenburg,manufacturers,18th century,2019LK2063,porcelain,firing,,in store,False,False,1700-1800,18.0,nymphenburg,"nymphenburg, germany",germany,nymphenburg,firing/heating,,"48.1562262, 11.4944564",48.1562262,11.4944564
"C.28:1, 2-2009",2009.0,O251532,sugar bowl and cover,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6973,porcelain,glazed,modernism,"ceramics, room 139, the curtain foundation gallery",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,glazed,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.24-2009,2009.0,O251531,plate,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6988,porcelain,,modernism,"ceramics, room 145",False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.25-2009,2009.0,O251530,plate,Neu-Berlin,Berlin,"petri, trude",designer,1931,2009CD6987,porcelain,,modernism,in store,False,False,1931,20.0,berlin,"berlin, germany",germany,berlin,,,"52.5173885, 13.3951309",52.5173885,13.3951309
C.291-1935,1935.0,O251404,figure,,Derby,derby porcelain factory,manufacturer,ca. 1870,2010CT4139,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1870,19.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.285-1935,1935.0,O251349,figure group,,Derby,derby porcelain factory,manufacturer,ca. 1820,2010CT5841,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1820,19.0,derby,"derby, england",england,derby,,,"52.9142235, -1.4719885",52.9142235,-1.4719885
C.268-2009,2009.0,O1192563,tray,Trend,Selb,"levien, robin",designer,ca. 1982,2009CR0604,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1982,20.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.275-2009,2009.0,O1192562,spoon,Trend Asia,Selb,"hunt, martin",designer,ca. 1992,2009CR0360,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1992,20.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.276-2009,2009.0,O1192561,chopstick holder,Trend Asia,Selb,"hunt, martin",designer,ca. 1992,2009CR0357,porcelain,,,"ceramics, room 140, factory ceramics",False,False,1992,20.0,selb,"selb, germany",germany,selb,,,"50.1696241, 12.1309201",50.1696241,12.1309201
C.198-2021,2021.0,O1636878,bust,,Staffordshire,campania works,manufacturer,1834,2024NV5161,porcelain,,,in store,False,False,1834,19.0,staffordshire,"staffordshire, england",england,staffordshire,,,"52.8246942, -2.0074547",52.8246942,-2.0074547
FE.216:1 to 5-2019,2019.0,O1519266,set of vases,Shadowed White,Korea,lee inhwa,artist,2013,,porcelain,,,in store,False,False,2013,21.0,korea,korea,,korea,,,"36.638392, 127.6961188",36.638392,127.6961188
2683-1856,1856.0,O345142,vase,,Sèvres,sèvres porcelain factory,maker,19th century,2010ED1520,porcelain,,,"ceramics, room 139, the curtain foundation gallery",False,False,1800-1900,19.0,sèvres,"sèvres, france",france,sèvres,,,"48.8247407, 2.2127083",48.8247407,2.2127083
C.120-2003,2003.0,O84259,bowl,Loft,United Kingdom,"hunt, martin",designer,2000,2009BY9746,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
"C.122:1, 2-2003",2003.0,O84263,sugar bowl and cover,Loft,United Kingdom,"hunt, martin",designer,2000,2009BY9739,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
C.123-2003,2003.0,O84264,milk jug,Loft,United Kingdom,"hunt, martin",designer,2000,2009BY9740,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
"C.124:1, 2-2003",2003.0,O84265,cup and saucer,Loft,United Kingdom,"hunt, martin",designer,2000,2009CA6293,porcelain,firing,,in store,False,False,2000,21.0,england,england,,united kingdom,firing/heating,,"51.5074456, -0.1277653",51.5074456,-0.1277653
301C-1906,1906.0,O1500784,fruit dish,,Staffordshire,,,19th century,2019MC6509,porcelain,gilding,,in store,False,False,1800-1900,19.0,staffordshire,"staffordshire, england",england,staffordshire,gilded,,"52.8246942, -2.0074547",52.8246942,-2.0074547
301B-1906,1906.0,O1500783,fruit dish,,Staffordshire,,,19th century,2019MC6511,porcelain,gilding,,in store,False,False,1800-1900,19.0,staffordshire,"staffordshire, england",england,staffordshire,gilded,,"52.8246942, -2.0074547",52.8246942,-2.0074547
301A-1906,1906.0,O1500781,fruit dish,,Staffordshire,,,19th century,2019MC6510,porcelain,gilding,,in store,False,False,1800-1900,19.0,staffordshire,"staffordshire, england",england,staffordshire,gilded,,"52.8246942, -2.0074547",52.8246942,-2.0074547
429B&C-1903,1903.0,O1496963,vase and cover,,Dresden,wolfsohn of dresden,designed and made by,19th century,2019LK2551,porcelain,painted,,in store,False,False,1800-1900,19.0,dresden,"dresden, germany",germany,dresden,painted,,"51.0493286, 13.7381437",51.0493286,13.7381437
